590355,aa1baa3c,aa1baa3c.ru,45722495801,aa1baa3c.@mail.com
742226,13aa2123ac,13aa2123ac.ru,95582832883,13aa2123ac.@mail.com
662874,1c3ba1331a,1c3ba1331a.ru,99185851912,1c3ba1331a.@mail.com
517529,1a22a3,1a22a3.ru,72563306333,1a22a3.@mail.com
509038,1311b2b,1311b2b.ru,5213663654,1311b2b.@mail.com
870323,31abc23b,31abc23b.ru,12451812982,31abc23b.@mail.com
780395,3131bb3,3131bb3.ru,34265697016,3131bb3.@mail.com
636708,13b322,13b322.ru,79578027115,13b322.@mail.com
584389,c111a,c111a.ru,84482503326,c111a.@mail.com
816857,babac1aacb,babac1aacb.ru,37460638487,babac1aacb.@mail.com
439812,221bac,221bac.ru,84077923844,221bac.@mail.com
166825,222b1c2ac,222b1c2ac.ru,37607025370,222b1c2ac.@mail.com
490062,131c3c,131c3c.ru,79721955807,131c3c.@mail.com
651005,131aaa,131aaa.ru,51873089915,131aaa.@mail.com
404591,1a1ab,1a1ab.ru,28232528685,1a1ab.@mail.com
831543,223c1331,223c1331.ru,87994468988,223c1331.@mail.com
291341,babc2c131c,babc2c131c.ru,97139299480,babc2c131c.@mail.com
7844,a113acb2c2,a113acb2c2.ru,3509539478,a113acb2c2.@mail.com
729984,132aac,132aac.ru,84576912836,132aac.@mail.com
904457,1cb1c321,1cb1c321.ru,58904786833,1cb1c321.@mail.com
572999,122a13,122a13.ru,16808232311,122a13.@mail.com
481193,2bbcac1b,2bbcac1b.ru,17172416984,2bbcac1b.@mail.com
735850,2c31cc,2c31cc.ru,11372448594,2c31cc.@mail.com
268611,232c22b,232c22b.ru,17923007548,232c22b.@mail.com
492691,3ca2ab2,3ca2ab2.ru,99826211587,3ca2ab2.@mail.com
121201,32cabb1c,32cabb1c.ru,41058528980,32cabb1c.@mail.com
766849,c2b1b2b,c2b1b2b.ru,69187350473,c2b1b2b.@mail.com
491047,a3cb3b11a1,a3cb3b11a1.ru,80048669193,a3cb3b11a1.@mail.com
475509,2a3223cb,2a3223cb.ru,95801015788,2a3223cb.@mail.com
248593,3a23b,3a23b.ru,46190518832,3a23b.@mail.com
586753,b2a13cc12,b2a13cc12.ru,82212415415,b2a13cc12.@mail.com
731283,11c3b,11c3b.ru,78960974696,11c3b.@mail.com
646618,2b3a31,2b3a31.ru,69516476860,2b3a31.@mail.com
679596,b23acac1,b23acac1.ru,25379569755,b23acac1.@mail.com
629593,cc32cac,cc32cac.ru,34663027024,cc32cac.@mail.com
791911,2331b311bb,2331b311bb.ru,69781856694,2331b311bb.@mail.com
423107,c31bb,c31bb.ru,96928363462,c31bb.@mail.com
